Row Labels,Count of user_session,Sum of price
dk,58,15861.89
dkny,104,15742.6
d-link,156,4687.74
dls,29,4198.45
dobrusskijfarforovyjzavod,14,1313.94
doff,3,211.08
doliva,14,150.51
domani-spa,80,15138.71
domasnijocag,9,161.91
domcraft,23,301.99
domenik,15,201.41
dometic,188,66872.08
domini,368,63571.72
domyos,51,8471.14
dongma,12,2776.92
doogee,475,58883.92
doohan,76,82887.88
dopdrops,4,72.08
doubleeagle,1,64.33
doupro,2,576.6
dowontec,2,823.7
dox,34,221.52
dr.jart,2,51.42
dreammachines,2,3603.64
dreamwave,5,475.18
dremel,35,2963.21
drjart,11,374.26
dsland,39,22388.58
dsp,5,157.01
dsppa,14,875.16
dsquared,3,559.86
dub,30,195.28
ducray,15,245.32
dulevskijfarfor,9,992.73
dunavox,3,3012.52
dune,12,4553.68
dunhill,23,1805.01
dunlop,317,28932.66
dunu,2,117.59
dunya,7,132
duo,19,251.51
dwt,389,27272.31
dxracer,347,101796.13
dyflon,2,51.42
dymatize,43,2417.13
dynacord,5,6971.08
dynamic,15,1509.67
dyson,458,242376.83
ea,379,27608.14
easycamp,3,87.27
easylink,2,44.58
easywalker,25,8677.48
e-blue,18,11633.24
eco,40,1218.26
ecocool,110,11379.68
ecolab,23,105.68
ecolight,17,243.08
ecoterm,8,281.4
ecotex,77,958.68
ecs,1,71.82
edcon,6,463.34
edelform,1,115.27
edge,397,59261.47
edifier,60,10458.49
edon,153,6189.14
edox,54,45606.58
educo,2,48.86
edufun,215,23902.94
efremov,406,57346.23
eger,3,269.51
egg,8,2251.78
egger,3,53.87
egreat,9,3378.51
ehome,7,75.55
einhell,98,17704.34
elan,30,7567.77
elari,1517,85719.79
elaud,5,69.07
elco,22,504.02
electrolux,1743,778313.71
electronicarts,2,179.7
electronicsdeluxe,14,2697.78
electro-voice,67,90849.91
elegant,26,325.4
elektrostandard,5,189.97
element,100,12381.86
elenberg,6168,324420.88
elf,38,899.41
elica,13,3579.29
elikor,118,11141.44
elite,7,220.58
elitech,6,759.94
elizavecca,98,1284.47
elna,55,19638.68
eltempo,1,70.01
eltex,1,67.44
eltreco,76,49885.64
elysium,363,4102.56
emal,2,145.14
embawood,27,23720.22
embryolisse,63,3137.92
emer,5,1994.9
emsa,100,4182.8
enchantimals,1,48.88
energenie,2,35.98
energizer,41,2963.77
energysistem,1,125.95
enermax,7,391.01
engenius,3,2597.13
enough,19,100.16
envision,13,1698.17
enya,3,769.64
epiphone,2,442.74
epr,245,96707.89
epson,1593,436738.73
era,1,11.86
erbis,6,579.69
erdenet,41,10342.66
ergo,137,36299.07
ergolux,2,12.08
erismann,5,79.91
erisson,36,1297.44
erkaplan,148,33918.88
erlit,518,152532.51
ersport,101,12077.49
escada,34,2070.87
escan,310,14140.7
esko,1,144.66
espiro,1,151.56
esse,7,560.24
essence,3,8.5
estap,3,467.24
estel,7,36.54
estomoda,5,334.65
etalon,22,741.35
etaltech,2,827.11
etor,516,55394.35
etro,6,1695.01
e-twow,28,20429.12
eurogold,10,77
eurolight,7,45.23
eurolux,517,46325.9
europrint,8,86.96
eurosvet,6,444.28
evamosaic,2,5.78
eveline,3,5.41
everflo,2,195.62
evga,12,15547
evgo,4,427.2
eviza,38,4685.98
evrodetal,3,904.02
ewa,2,48.9
exide,57,4312.59
expression,1,14.31
expromt,9,57.26
ezetil,111,48538.94
faans,1,37.03
faber,1,138.54
fabretti,169,4059.31
face,1,14.16
fais,1,85.46
falken,5,203.35
falmec,1,383.32
fancy,24,392.29
fanline,43,7613.22
fantasia,13,4330.96
fant-mebel,10,2828.9
fanzon,1,7.14
farcar,19,8352.84
farmavita,25,792.99
farmstay,5,40.03
farroad,172,11100.99
fassen,733,33052.74
favourite,4,259.98
febest,300,6137.43
felisatti,3,693.33
fender,357,143498.58
fendi,6,245.44
fengnix,7,1063.09
fenix,85,12111.31
feron,8,20.02
ferrari,5,382.48
ferre,2,228.74
ferrino,66,16049.3
festina,1,82.63
festool,31,25037.14
fibos,2,513.78
fidan,2,62.78
fiesta,48,5779.19
fiio,35,3968.03
fila,331,34449.99
finezza,13,268.58
finish,23,498.73
firepower,15,114.12
firestone,47,13384.66
firman,51,31804.07
first,100,3103.62
fischer,10,429.13
fisher,83,28090.14
fisherman,24,883.24
